[5, 1, 0.015548467636108398]
[5, 2, 0.01561880111694336]
[5, 3, 0.0]
[5, 4, 0.0]
[5, 5, 0.0]
[5, 6, 0.015627145767211914]
[5, 7, 0.01562190055847168]
[5, 8, 0.0]
[5, 9, 0.0156710147857666]
[5, 10, 0.0]
[5, 11, 0.015658140182495117]
[5, 12, 0.0]
[5, 13, 0.015666961669921875]
[5, 14, 0.015590190887451172]
[5, 15, 0.015619277954101562]
[5, 16, 0.0]
[5, 17, 0.0]
[5, 18, 0.0]
[5, 19, 0.015610456466674805]
[5, 20, 0.0]
[5, 21, 0.0]
[5, 22, 0.015656471252441406]
[5, 23, 0.015589237213134766]
[5, 24, 0.0]
[5, 25, 0.0]
[5, 26, 0.015590429306030273]
[5, 27, 0.0]
[5, 28, 0.0]
[5, 29, 0.0]
