[5000, 1, 1.2449781894683838]
[5000, 11, 0.255206823348999]
[5000, 21, 0.2599294185638428]
[5000, 31, 0.22983288764953613]
[5000, 41, 0.26030611991882324]
[5000, 51, 0.23953533172607422]
[5000, 61, 0.26030755043029785]
[5000, 71, 0.2603015899658203]
[5000, 81, 0.2553420066833496]
[5000, 91, 0.25003933906555176]
[5000, 101, 0.31027746200561523]
[5000, 111, 0.26030683517456055]
[5000, 121, 0.26009154319763184]
[5000, 131, 0.2898120880126953]
[5000, 141, 0.3400609493255615]
[5000, 151, 0.36272406578063965]
[5000, 161, 0.2698366641998291]
[5000, 171, 0.380460262298584]
[5000, 181, 0.2699577808380127]
[5000, 191, 0.29951977729797363]
[5000, 201, 0.2951345443725586]
[5000, 211, 0.2700777053833008]
[5000, 221, 0.3792891502380371]
[5000, 231, 0.30994439125061035]
[5000, 241, 0.2699613571166992]
[5000, 251, 0.28028154373168945]
[5000, 261, 0.28772759437561035]
[5000, 271, 0.3302724361419678]
[5000, 281, 0.29004359245300293]
[5000, 291, 0.2600116729736328]
