Window Size,Lookahead Buffer size,Time /s  (Windows),Time /s  (Linux)
1,1,0.910085678,3.006315708
1001,1,1.489750862,1.828803539
2001,1,1.589687824,2.048600435
3001,1,2.073925972,3.060076714
1,1001,32.70017457,28.93090057
1001,1001,35.07003212,44.3319621
2001,1001,52.10990024,78.91156316
3001,1001,60.46856117,113.7586739
1,2001,62.60396624,52.903209
2001,2001,105.5701015,161.0217354
3001,2001,122.7360625,239.3489687
2001,3001,107.8798892,175.8047216
3001,3001,183.9769859,344.0068967
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Window Size,Lookahead Buffer size,Time /s  (Windows),Time /s  (Linux)
1,1,0.910085678,3.006315708
1,1001,32.70017457,28.93090057
1,2001,62.60396624,52.903209
1001,1,1.489750862,1.828803539
1001,1001,35.07003212,44.3319621
2001,1,1.589687824,2.048600435
2001,1001,52.10990024,78.91156316
2001,2001,105.5701015,161.0217354
2001,3001,107.8798892,175.8047216
3001,1,2.073925972,3.060076714
3001,1001,60.46856117,113.7586739
3001,2001,122.7360625,239.3489687
3001,3001,183.9769859,344.0068967
